,n_gram_size,assembled_sentence,sentence
0,4,::GetPrivateProfileSection,Get Private Profile Section
1,4,::GetScriptManagerVariable,Get Script Manager Variable
2,3,::GetTokenAt,Get Token At
3,3,::JS_DefineUCProperty,JS Define UCProperty
4,5,::SetMenuItemHierarchicalID,Set Menu Item Hierarchical ID
5,3,::SetResLoad,Set Res Load
6,1,::fread,fread
7,2,AAS_Error,AAS Error
8,4,AAS_FreeAASLinkedEntities,AAS Free AASLinked Entities
9,1,ACMButton,ACMButton
10,3,AF_DEFAULT_TRACK,AF DEFAULT TRACK
11,5,AND_EXP_AST__LINE_START,AND EXP AST LINE START
12,3,APPCOMMAND_BROWSER_REFRESH,APPCOMMAND BROWSER REFRESH
13,4,APR_FILEPATH_ENCODING_LOCALE,APR FILEPATH ENCODING LOCALE
14,3,APR_POLLSET_THREADSAFE,APR POLLSET THREADSAFE
15,4,APR_WIN_CE_3,APR WIN CE 3
16,4,APR_XML_ERROR_EXPAT,APR XML ERROR EXPAT
17,9,ARB_shader_objects_glUniform3fARB_pointer,ARB shader objects gl Uniform 3 f ARB pointer
18,5,ART_UTA_BBOX_Y0,ART UTA BBOX Y 0
19,2,ASTRewrite.TYPE,ASTRewrite TYPE
20,1,ASTView,ASTView
21,3,AST_CDR_DOCUMENTATION,AST CDR DOCUMENTATION
22,3,AST_FEATURE_DISCONNECT,AST FEATURE DISCONNECT
23,3,AST_LOCK_FAILURE,AST LOCK FAILURE
24,3,AST_RTP_MAX,AST RTP MAX
25,3,ATK_ROLE_MENU,ATK ROLE MENU
26,5,AUTOMATIC_DATABASE_MEMORY_URL.equals,AUTOMATIC DATABASE MEMORY URL equals
27,3,A_RFC931,A RFC 931
28,5,ArrayToArrayInfoMap,Array To Array Info Map
29,3,AtkCoordType,Atk Coord Type
30,3,AtkTextIface,Atk Text Iface
31,3,BARCODE_NO_ASCII,BARCODE NO ASCII
32,3,BIT5_H,BIT 5 H
33,5,BOTLIB_AI_ALLOC_CHAT_STATE,BOTLIB AI ALLOC CHAT STATE
34,2,BSD_REGEX,BSD REGEX
35,2,BS_PUSHBUTTON,BS PUSHBUTTON
36,2,BZipUncompress,BZip Uncompress
37,2,BaseExc,Base Exc
38,4,BlastBin2Csv,Blast Bin 2 Csv
39,3,BlockRowPixels,Block Row Pixels
40,2,BooleanECD,Boolean ECD
41,6,BugBaseQuery.QUERY_UPDATE_BUGREPORTS,Bug Base Query QUERY UPDATE BUGREPORTS
42,3,BulletinConstants.TAGSTATUS,Bulletin Constants TAGSTATUS
43,2,CAInfo.SELFSIGNED,CAInfo SELFSIGNED
44,2,CBM_INIT,CBM INIT
45,3,CBuilderXProjectWriter,CBuilder XProject Writer
46,2,CCLASS_UPPER,CCLASS UPPER
47,2,CDSC_PSADOBE,CDSC PSADOBE
48,2,CELLTYPE_BODY,CELLTYPE BODY
49,5,CERT_DecodeCertificatePoliciesExtension,CERT Decode Certificate Policies Extension
50,4,CERT_SaveSMimeProfile,CERT Save SMime Profile
51,3,CFArrayCreateMutable,CFArray Create Mutable
52,1,CFPAnalyser,CFPAnalyser
53,3,CFriendListCtrl,CFriend List Ctrl
54,4,CGConstants.MAX_CARDINALITY_COLOR,CGConstants MAX CARDINALITY COLOR
55,3,CHAR_DIAPRE_DECIMALE,CHAR DIAPRE DECIMALE
56,4,CHECK_SERVICE_USE_OK,CHECK SERVICE USE OK
57,1,CHOICEHELP,CHOICEHELP
58,3,CHROME_DIR_NAME,CHROME DIR NAME
59,3,CHU_ERR_ERROR,CHU ERR ERROR
60,2,CI_SIGNATURE,CI SIGNATURE
61,4,CKM_SHA384_HMAC,CKM SHA 384 HMAC
62,4,CK_C_INITIALIZE_ARGS,CK C INITIALIZE ARGS
63,3,CLASSTYPE_FRIEND_CLASSES,CLASSTYPE FRIEND CLASSES
64,2,CLIENT_SSL,CLIENT SSL
65,3,CLIENT_THREADS_MIN,CLIENT THREADS MIN
66,2,CLabelTab,CLabel Tab
67,3,CM_BoundBrush,CM Bound Brush
68,4,CNumPad.FUNC_CLR,CNum Pad FUNC CLR
69,4,CODE_null_unit_attr,CODE null unit attr
70,6,COLLECTION_COMPLEX_TYPE_AST__PCOLLECTION_KEY,COLLECTION COMPLEX TYPE AST PCOLLECTION KEY
71,2,COMPUTIME_FORMAT,COMPUTIME FORMAT
72,2,CONTINUE_PREV,CONTINUE PREV
73,3,CONV_OLD_CONVERT,CONV OLD CONVERT
74,4,CPU_features.i387,CPU features i 387
75,8,CRMF_CertReqMsgSetKeyEnciphermentPOP,CRMF Cert Req Msg Set Key Encipherment POP
76,3,CSS_PROP_XUL,CSS PROP XUL
77,3,CSS_STATE_DELETED,CSS STATE DELETED
78,2,CSearchDlg,CSearch Dlg
79,4,CSimpleKnownFileArray,CSimple Known File Array
80,2,CStyleToken,CStyle Token
81,1,CWColormap,CWColormap
82,4,CalcDiffInTotals,Calc Diff In Totals
83,4,CalcHorCornerOffset,Calc Hor Corner Offset
84,3,Cam_MouseDown,Cam Mouse Down
85,1,Cbcalc,Cbcalc
86,5,CdlPackage.VARIABLE__SEMANTIC_ANNOTATIONS,Cdl Package VARIABLE SEMANTIC ANNOTATIONS
87,2,CharImpl,Char Impl
88,5,ChildLocalHome.JNDI_NAME,Child Local Home JNDI NAME
89,4,ChildParentChooserWindow,Child Parent Chooser Window
90,3,ChildrenHashOps,Children Hash Ops
91,4,ClassDescriptor.OOS_ARGS,Class Descriptor OOS ARGS
92,5,ClassType.ANNOTATION_TYPE_DECL,Class Type ANNOTATION TYPE DECL
93,3,CommonMainRoutine,Common Main Routine
94,4,ComponentBinderImplTest,Component Binder Impl Test
95,6,ConfigParser.QUERY_CACHE_MAX_QUERIES,Config Parser QUERY CACHE MAX QUERIES
96,4,Console_IO.str_emph,Console IO str emph
97,5,Constants.ATTR_CLASS_VALUE_SOURCE,Constants ATTR CLASS VALUE SOURCE
98,2,Constants.FSWP,Constants FSWP
99,4,Constants.JUNIT_DOUBLE_PRECISION,Constants JUNIT DOUBLE PRECISION
100,3,Constants.amountOf,Constants amount Of
101,3,ConstructAttributeTable,Construct Attribute Table
102,3,CountRectProc,Count Rect Proc
103,2,Crawler.WEB,Crawler WEB
104,6,CreateImapManageMailAccountUrl,Create Imap Manage Mail Account Url
105,2,CreateSVGTransform,Create SVGTransform
106,2,DAlarmFields,DAlarm Fields
107,3,DB_VERB_CHKPOINT,DB VERB CHKPOINT
108,2,DCF_M,DCF M
109,2,DC_COMMENT,DC COMMENT
110,2,DC_OPEN,DC OPEN
111,3,DECL_FIELD_SIZE,DECL FIELD SIZE
112,4,DICT_POOL_PER_VARYING,DICT POOL PER VARYING
113,2,DIRECTION_NOTSET,DIRECTION NOTSET
114,3,DJP_NEXT_STRUCTP,DJP NEXT STRUCTP
115,1,DKGREEN,DKGREEN
116,3,DLG_ADVANCED_SETTINGS,DLG ADVANCED SETTINGS
117,1,DLList,DLList
118,5,DPR_OUTPUT_URL_PARAMETER_NAME,DPR OUTPUT URL PARAMETER NAME
119,2,DRIVE_REMOVABLE,DRIVE REMOVABLE
120,2,DT_DEBUG,DT DEBUG
121,4,DYN_ANY_FACTORY_NAME,DYN ANY FACTORY NAME
122,4,Db_h_hash_callback,Db h hash callback
123,2,DecimateConfig,Decimate Config
124,3,DefNodeWidth,Def Node Width
125,5,DeleteModalityLanguageSupportAction,Delete Modality Language Support Action
126,2,DenoiseFFTWindow,Denoise FFTWindow
127,3,DestroyFlushEvent,Destroy Flush Event
128,3,DestroyOidSequence,Destroy Oid Sequence
129,4,DialerCommand.CLT_UNBLOCK,Dialer Command CLT UNBLOCK
130,6,DjentelParserEngineTreeConstants.JJTINDENT,Djentel Parser Engine Tree Constants JJTINDENT
131,2,DoHooks,Do Hooks
132,5,DropDownListSpriteCO,Drop Down List Sprite CO
133,3,DublinCoreExtension,Dublin Core Extension
134,3,DummyListUI,Dummy List UI
135,1,EAGAIN,EAGAIN
136,1,ECField,ECField
137,3,EC_group_fp,EC group fp
138,2,EF_LOST,EF LOST
139,3,EL3RST,EL 3 RST
140,1,ENVVERB,ENVVERB
141,1,EOPNOTSUPP,EOPNOTSUPP
142,3,ER_ILLEGAL_REFERENCE,ER ILLEGAL REFERENCE
143,5,ESR_NORMAL_FONT_SIZE_DEFAULT,ESR NORMAL FONT SIZE DEFAULT
144,2,ESTRANGELO_SYRIAC,ESTRANGELO SYRIAC
145,4,EUCKR_TYPICAL_DISTRIBUTION_RATIO,EUCKR TYPICAL DISTRIBUTION RATIO
146,3,EUDORAIMPORT_ADDRESS_BADSOURCEFILE,EUDORAIMPORT ADDRESS BADSOURCEFILE
147,5,EncodeABC.value.const_refs,Encode ABC value const refs
148,3,Enum.INT_ABOVE,Enum INT ABOVE
149,2,ErrTimeout,Err Timeout
150,3,ExportXMIReferenceProvider,Export XMIReference Provider
151,3,FC_USERID_HINT,FC USERID HINT
152,5,FFECOM_f2ccodeCHAR,FFECOM f 2 ccode CHAR
153,3,FFEEXPR_percentVAL_,FFEEXPR percent VAL
154,3,FFESTR_firstCALL,FFESTR first CALL
155,3,FFESTR_genioSIZE,FFESTR genio SIZE
156,3,FF_LOSS_COLORSPACE,FF LOSS COLORSPACE
157,7,FORMATTER_BRACE_POSITION_FOR_ANNOTATION_TYPE_DECLARATION,FORMATTER BRACE POSITION FOR ANNOTATION TYPE DECLARATION
158,3,FORM_DATAOBJECT_CONSTRUCTOR,FORM DATAOBJECT CONSTRUCTOR
159,2,FPUL_REGS,FPUL REGS
160,4,FSMultipartFormDataReader,FSMultipart Form Data Reader
161,3,FT_New_Stream,FT New Stream
162,3,FT_Outline_Oblique,FT Outline Oblique
163,3,FX_SPELL_PARALYZE,FX SPELL PARALYZE
164,2,FileActivator,File Activator
165,6,FileMgrConstants.VMODULE_ACTION_SAVE,File Mgr Constants VMODULE ACTION SAVE
166,5,FlowchartDiagramEditorPlugin.ID,Flowchart Diagram Editor Plugin ID
167,4,ForrestManager.COMMAND_BUILD,Forrest Manager COMMAND BUILD
168,6,GC_push_all_stack_partially_eager,GC push all stack partially eager
169,4,GC_register_disappearing_link,GC register disappearing link
170,5,GConfClientGetDefaultType,GConf Client Get Default Type
171,1,GFXBYTESPERPIXEL,GFXBYTESPERPIXEL
172,3,GGGPP_CDMA2000,GGGPP CDMA 2000
173,2,GL_COLOR,GL COLOR
174,4,GL_COLOR_BUFFER_BIT,GL COLOR BUFFER BIT
