::GetPrivateProfileSection	XXbmebmmmmmebmmmmmebmmmmme
::GetScriptManagerVariable	XXbmebmmmmebmmmmmebmmmmmme
::GetTokenAt	XXbmebmmmebe
::JS_DefineUCProperty	XXbeXbmmmmebmmmmmmmme
::SetMenuItemHierarchicalID	XXbmebmmebmmebmmmmmmmmmmebe
::SetResLoad	XXbmebmebmme
::fread	XXbmmme
AAS_Error	bmeXbmmme
AAS_FreeAASLinkedEntities	bmeXbmmebmmmmmmmebmmmmmme
ACMButton	bmmmmmmme
AF_DEFAULT_TRACK	beXbmmmmmeXbmmme
AND_EXP_AST__LINE_START	bmeXbmeXbmeXXbmmeXbmmme
APPCOMMAND_BROWSER_REFRESH	bmmmmmmmmeXbmmmmmeXbmmmmme
APR_FILEPATH_ENCODING_LOCALE	bmeXbmmmmmmeXbmmmmmmeXbmmmme
APR_POLLSET_THREADSAFE	bmeXbmmmmmeXbmmmmmmmme
APR_WIN_CE_3	bmeXbmeXbeXs
APR_XML_ERROR_EXPAT	bmeXbmeXbmmmeXbmmme
ARB_shader_objects_glUniform3fARB_pointer	bmeXbmmmmeXbmmmmmeXbebmmmmmessbmeXbmmmmme
ART_UTA_BBOX_Y0	bmeXbmeXbmmeXss
ASTRewrite.TYPE	bmmmmmmmmeXbmme
ASTView	bmmmmme
AST_CDR_DOCUMENTATION	bmeXbmeXbmmmmmmmmmmme
AST_FEATURE_DISCONNECT	bmeXbmmmmmeXbmmmmmmmme
AST_LOCK_FAILURE	bmeXbmmeXbmmmmme
AST_RTP_MAX	bmeXbmeXbme
ATK_ROLE_MENU	bmeXbmmeXbmme
AUTOMATIC_DATABASE_MEMORY_URL.equals	bmmmmmmmeXbmmmmmmeXbmmmmeXbmeXbmmmme
A_RFC931	sXbmebme
ArrayToArrayInfoMap	bmmmebebmmmebmmebme
AtkCoordType	bmebmmmebmme
AtkTextIface	bmebmmebmmme
BARCODE_NO_ASCII	bmmmmmeXbeXbmmme
BIT5_H	bmesXs
BOTLIB_AI_ALLOC_CHAT_STATE	bmmmmeXbeXbmmmeXbmmeXbmmme
BSD_REGEX	bmeXbmmme
BS_PUSHBUTTON	beXbmmmmmmmme
BZipUncompress	bmmebmmmmmmmme
BaseExc	bmmebme
BlastBin2Csv	bmmmebmesbme
BlockRowPixels	bmmmebmebmmmme
BooleanECD	bmmmmmebme
BugBaseQuery.QUERY_UPDATE_BUGREPORTS	bmebmmebmmmeXbmmmeXbmmmmeXbmmmmmmmme
BulletinConstants.TAGSTATUS	bmmmmmmebmmmmmmmeXbmmmmmmme
CAInfo.SELFSIGNED	bmmmmeXbmmmmmmmme
CBM_INIT	bmeXbmme
CBuilderXProjectWriter	bmmmmmmebmmmmmmebmmmme
CCLASS_UPPER	bmmmmeXbmmme
CDSC_PSADOBE	bmmeXbmmmmme
CELLTYPE_BODY	bmmmmmmeXbmme
CERT_DecodeCertificatePoliciesExtension	bmmeXbmmmmebmmmmmmmmmebmmmmmmebmmmmmmme
CERT_SaveSMimeProfile	bmmeXbmmebmmmebmmmmme
CFArrayCreateMutable	bmmmmmebmmmmebmmmmme
CFPAnalyser	bmmmmmmmmme
CFriendListCtrl	bmmmmmebmmebmme
CGConstants.MAX_CARDINALITY_COLOR	bmmmmmmmmmeXbmeXbmmmmmmmmmeXbmmme
CHAR_DIAPRE_DECIMALE	bmmeXbmmmmeXbmmmmmme
CHECK_SERVICE_USE_OK	bmmmeXbmmmmmeXbmeXbe
CHOICEHELP	bmmmmmmmme
CHROME_DIR_NAME	bmmmmeXbmeXbmme
CHU_ERR_ERROR	bmeXbmeXbmmme
CI_SIGNATURE	beXbmmmmmmme
CKM_SHA384_HMAC	bmeXbmebmeXbmme
CK_C_INITIALIZE_ARGS	beXsXbmmmmmmmmeXbmme
CLASSTYPE_FRIEND_CLASSES	bmmmmmmmeXbmmmmeXbmmmmme
CLIENT_SSL	bmmmmeXbme
CLIENT_THREADS_MIN	bmmmmeXbmmmmmeXbme
CLabelTab	bmmmmebme
CM_BoundBrush	beXbmmmebmmme
CNumPad.FUNC_CLR	bmmebmeXbmmeXbme
CODE_null_unit_attr	bmmeXbmmeXbmmeXbmme
COLLECTION_COMPLEX_TYPE_AST__PCOLLECTION_KEY	bmmmmmmmmeXbmmmmmeXbmmeXbmeXXbmmmmmmmmmeXbme
COMPUTIME_FORMAT	bmmmmmmmeXbmmmme
CONTINUE_PREV	bmmmmmmeXbmme
CONV_OLD_CONVERT	bmmeXbmeXbmmmmme
CPU_features.i387	bmeXbmmmmmmeXsbme
CRMF_CertReqMsgSetKeyEnciphermentPOP	bmmeXbmmebmebmebmebmebmmmmmmmmmmebme
CSS_PROP_XUL	bmeXbmmeXbme
CSS_STATE_DELETED	bmeXbmmmeXbmmmmme
CSearchDlg	bmmmmmebme
CSimpleKnownFileArray	bmmmmmebmmmebmmebmmme
CStyleToken	bmmmmebmmme
CWColormap	bmmmmmmmme
CalcDiffInTotals	bmmebmmebebmmmme
CalcHorCornerOffset	bmmebmebmmmmebmmmme
Cam_MouseDown	bmeXbmmmebmme
Cbcalc	bmmmme
CdlPackage.VARIABLE__SEMANTIC_ANNOTATIONS	bmebmmmmmeXbmmmmmmeXXbmmmmmmeXbmmmmmmmmme
CharImpl	bmmebmme
ChildLocalHome.JNDI_NAME	bmmmebmmmebmmeXbmmeXbmme
ChildParentChooserWindow	bmmmebmmmmebmmmmmebmmmme
ChildrenHashOps	bmmmmmmebmmebme
ClassDescriptor.OOS_ARGS	bmmmebmmmmmmmmeXbmeXbmme
ClassType.ANNOTATION_TYPE_DECL	bmmmebmmeXbmmmmmmmmeXbmmeXbmme
CommonMainRoutine	bmmmmebmmebmmmmme
