::GetPrivateProfileSection	rrbmebmmmmmebmmmmmebmmmmme
::GetScriptManagerVariable	rrbmebmmmmebmmmmmebmmmmmme
::GetTokenAt	rrbmebmmmebe
::JS_DefineUCProperty	rrberbmmmmebmmmmmmmme
::SetMenuItemHierarchicalID	rrbmebmmebmmebmmmmmmmmmmebe
::SetResLoad	rrbmebmebmme
::fread	rrbmmme
AAS_Error	bmerbmmme
AAS_FreeAASLinkedEntities	bmerbmmebmmmmmmmebmmmmmme
ACMButton	bmmmmmmme
AF_DEFAULT_TRACK	berbmmmmmerbmmme
AND_EXP_AST__LINE_START	bmerbmerbmerrbmmerbmmme
APPCOMMAND_BROWSER_REFRESH	bmmmmmmmmerbmmmmmerbmmmmme
APR_FILEPATH_ENCODING_LOCALE	bmerbmmmmmmerbmmmmmmerbmmmme
APR_POLLSET_THREADSAFE	bmerbmmmmmerbmmmmmmmme
APR_WIN_CE_3	bmerbmerbers
APR_XML_ERROR_EXPAT	bmerbmerbmmmerbmmme
ARB_shader_objects_glUniform3fARB_pointer	bmerbmmmmerbmmmmmerbebmmmmmessbmerbmmmmme
ART_UTA_BBOX_Y0	bmerbmerbmmerss
ASTRewrite.TYPE	bmmmmmmmmerbmme
ASTView	bmmmmme
AST_CDR_DOCUMENTATION	bmerbmerbmmmmmmmmmmme
AST_FEATURE_DISCONNECT	bmerbmmmmmerbmmmmmmmme
AST_LOCK_FAILURE	bmerbmmerbmmmmme
AST_RTP_MAX	bmerbmerbme
ATK_ROLE_MENU	bmerbmmerbmme
AUTOMATIC_DATABASE_MEMORY_URL.equals	bmmmmmmmerbmmmmmmerbmmmmerbmerbmmmme
A_RFC931	srbmebme
ArrayToArrayInfoMap	bmmmebebmmmebmmebme
AtkCoordType	bmebmmmebmme
AtkTextIface	bmebmmebmmme
BARCODE_NO_ASCII	bmmmmmerberbmmme
BIT5_H	bmesrs
BOTLIB_AI_ALLOC_CHAT_STATE	bmmmmerberbmmmerbmmerbmmme
BSD_REGEX	bmerbmmme
BS_PUSHBUTTON	berbmmmmmmmme
BZipUncompress	bmmebmmmmmmmme
BaseExc	bmmebme
BlastBin2Csv	bmmmebmesbme
BlockRowPixels	bmmmebmebmmmme
BooleanECD	bmmmmmebme
BugBaseQuery.QUERY_UPDATE_BUGREPORTS	bmebmmebmmmerbmmmerbmmmmerbmmmmmmmme
BulletinConstants.TAGSTATUS	bmmmmmmebmmmmmmmerbmmmmmmme
CAInfo.SELFSIGNED	bmmmmerbmmmmmmmme
CBM_INIT	bmerbmme
CBuilderXProjectWriter	bmmmmmmebmmmmmmebmmmme
CCLASS_UPPER	bmmmmerbmmme
CDSC_PSADOBE	bmmerbmmmmme
CELLTYPE_BODY	bmmmmmmerbmme
CERT_DecodeCertificatePoliciesExtension	bmmerbmmmmebmmmmmmmmmebmmmmmmebmmmmmmme
CERT_SaveSMimeProfile	bmmerbmmebmmmebmmmmme
CFArrayCreateMutable	bmmmmmebmmmmebmmmmme
CFPAnalyser	bmmmmmmmmme
CFriendListCtrl	bmmmmmebmmebmme
CGConstants.MAX_CARDINALITY_COLOR	bmmmmmmmmmerbmerbmmmmmmmmmerbmmme
CHAR_DIAPRE_DECIMALE	bmmerbmmmmerbmmmmmme
CHECK_SERVICE_USE_OK	bmmmerbmmmmmerbmerbe
CHOICEHELP	bmmmmmmmme
CHROME_DIR_NAME	bmmmmerbmerbmme
CHU_ERR_ERROR	bmerbmerbmmme
CI_SIGNATURE	berbmmmmmmme
CKM_SHA384_HMAC	bmerbmebmerbmme
CK_C_INITIALIZE_ARGS	bersrbmmmmmmmmerbmme
CLASSTYPE_FRIEND_CLASSES	bmmmmmmmerbmmmmerbmmmmme
CLIENT_SSL	bmmmmerbme
CLIENT_THREADS_MIN	bmmmmerbmmmmmerbme
CLabelTab	bmmmmebme
CM_BoundBrush	berbmmmebmmme
CNumPad.FUNC_CLR	bmmebmerbmmerbme
CODE_null_unit_attr	bmmerbmmerbmmerbmme
COLLECTION_COMPLEX_TYPE_AST__PCOLLECTION_KEY	bmmmmmmmmerbmmmmmerbmmerbmerrbmmmmmmmmmerbme
COMPUTIME_FORMAT	bmmmmmmmerbmmmme
CONTINUE_PREV	bmmmmmmerbmme
CONV_OLD_CONVERT	bmmerbmerbmmmmme
CPU_features.i387	bmerbmmmmmmersbme
CRMF_CertReqMsgSetKeyEnciphermentPOP	bmmerbmmebmebmebmebmebmmmmmmmmmmebme
CSS_PROP_XUL	bmerbmmerbme
CSS_STATE_DELETED	bmerbmmmerbmmmmme
CSearchDlg	bmmmmmebme
CSimpleKnownFileArray	bmmmmmebmmmebmmebmmme
CStyleToken	bmmmmebmmme
CWColormap	bmmmmmmmme
CalcDiffInTotals	bmmebmmebebmmmme
CalcHorCornerOffset	bmmebmebmmmmebmmmme
Cam_MouseDown	bmerbmmmebmme
Cbcalc	bmmmme
CdlPackage.VARIABLE__SEMANTIC_ANNOTATIONS	bmebmmmmmerbmmmmmmerrbmmmmmmerbmmmmmmmmme
CharImpl	bmmebmme
ChildLocalHome.JNDI_NAME	bmmmebmmmebmmerbmmerbmme
